RIN_YEAR,Fuel Code,DOMESTIC,IMPORTER,Foreign Generation,Total RINs
2010,4,304545142,18731306,0,323276448
2010,5,28611632,0,0,28611632
2010,6,6793470363,2617486,0,6796087849
2011,4,1624924461,66689563,0,1691614024
2011,5,56132230,172425788,0,228558018
2011,6,13612111406,3204291,0,13615315697
2012,3,20069,0,0,20069
2012,4,1591526666,50170499,95636832,1737333997
2012,5,51279587,575793102,0,627072689
2012,6,12987841601,0,0,12987841601
2012,7,1741,0,0,1741
2013,3,422740,0,0,422740
2013,4,2187328286,266262275,286883870,2740474431
2013,5,122511420,435313268,0,557824688
2013,6,13107997361,46157135,196357089,13350511585
2013,7,395777,0,0,395777
2014,3,33360560,0,0,33360560
2014,4,2214017272,203985011,291970178,2709972461
2014,5,79065878,64474655,0,143540533
2014,6,14022689193,79009021,257366277,14359064491
2014,7,8859,50446,0,59305
2015,3,117209297,24830944,0,142040241
2015,4,2173111915,391885020,230801430,2795798365
2015,5,58136993,88954450,0,147091443
2015,6,14386377743,118620859,340903411,14845902013
2015,7,0,275315,0,275315
2016,3,171445159,20916636,0,192361795
2016,4,2854169233,842461326,312849257,4009479816
2016,5,63698983,34404034,0,98103017
2016,6,14713569019,180530998,281617019,15175717036
2016,7,0,534429,0,534429
2017,3,213952495,36671978,0,250624473
2017,4,2815573944,694160210,339179310,3848913464
2017,5,69757482,73889090,0,143646572
2017,6,14851872278,12347968,244982236,15109202482
2017,7,459,1743435,0,1743894
2018,3,274908096,37440102,0,312348198
2018,4,3264833533,262712433,345674276,3873220242
2018,5,101658462,77668319,0,179326781
2018,6,14955002470,12738772,181065012,15148806254
2018,7,11256,2440000,0,2451256
2019,3,374275216,39847594,0,414122810
2019,4,3352906212,277112663,516595843,4146614718
2019,5,126740400,195603169,0,322343569
2019,6,14716927149,13483230,197800871,14928211250
2019,7,0,1315943,0,1315943
2020,3,470984651,34887560,0,505872211
2020,4,3565561368,314241090,610439070,4490241528
2020,5,150050209,185186372,0,335236581
2020,6,12845224171,11997947,129657171,12986879289
2020,7,0,55892,0,55892
2021,3,532292321,36121833,0,568414154
2021,4,3896747901,317538423,659350236,4873636560
2021,5,174360746,59514391,0,233875137
2021,6,14111839273,13427479,134670577,14259937329
2021,7,0,247518,0,247518
2022,3,631566533,37054219,0,668620752
2022,4,4784558307,360600500,642100766,5787259573
2022,5,262611333,80546883,0,343158216
2022,6,14409525836,14102849,127436021,14551064706
2022,7,0,236352,0,236352
2023,3,731428766,43309170,0,774737936
2023,4,6480809009,757474374,732953611,7971236994
2023,5,241831177,21239003,0,263070180
2023,6,14713676120,24211255,101133009,14839020384
2023,7,0,208643,0,208643
2024,3,969488874,46231606,0,1015720480
2024,4,7724899984,799640951,650516878,9175057813
2024,5,244728543,0,0,244728543
2024,6,14880308025,23801752,0,14904109777
2024,7,0,283259,0,283259
2025,3,474931842,18450014,0,493381856
2025,4,3213352230,45548570,73510256,3332411056
2025,5,132504747,0,0,132504747
2025,6,7200833253,6494601,0,7207327854
2025,7,0,147211,0,147211
